SppName_ICTV_MSL2018b,emergence_year,death_count_start,death_count_end,death_period,emergence_country,emergence_continent,death_burden_since_1950,death_burden_notes,death_burden_references,vaccination_effects,vaccine_notes,vaccination_references,hOrder,reservoir.status,spillover.capacity,CFR_stat_lower,CFR_stat_upper,CFR_avg,CFR_stat_notes,CFR_stat_ref,CFR_deaths,CFR_cases,CFR_country,CFR_timeline,CFR_case_prop,CFR_country_specific,CFR_country_references,notes,human.trans,IsVectorBorne,Tr.primary,vFamily,GenomeType,class,spill_type,phylo_dist,tot_cases,GDP,country_case_prop,contr_GDP,weighted_GDP,VirusFamilyPublicationCount,VirusSppPublicationCount,ExclusiveCytoplasmicReplication,ReservoirNspecies
Bovine papular stomatitis virus,pre-1950,1950,2020,70,USA,North_America,0,NA,Nomland and McKee 1952,N,NA,Nomland and McKee 1952,CETARTIODACTYLA,1,1,0,0,0,,Nomland and McKee 1952,0,10,USA,1952,subset,0,Nomland and McKee 1952,"Also called milker's nodules. Believed to be relatively common in people who work in livestock, but poorly monitored",1,0,direct_contact_with_animal,Poxviridae,dsDNA,Mammalia,direct,192.92,10,60055,1,60055,60055,1531,70,1,339
Brazilian mammarenavirus,1990,1990,2020,30,Brazil,South_America,1,NA,Mello Malta et al. 2020,N,NA,Mello Malta et al. 2020,RODENTIA,1,1,33.3333333,33.3333333,33.3333333,,Mello Malta et al. 2020,1,3,Brazil,1990; 2020,all_recorded,33.3333333,Mello Malta et al. 2020,Only 3 naturally acquired cases,1,0,inhalation_aerosolized_animal_excreta,Arenaviridae,ssRNA(+/-),Mammalia,direct,179.65,3,9821,1,9821,9821,875,112,1,2368
California encephalitis orthobunyavirus,1945,1950,2020,70,USA,North_America,0,NA,Eldridge et al. 2001,N,NA,Eldridge et al. 2001,PERISSODACTYLA,1,0,0,0,0,,Eldridge et al. 2001,0,4,USA,1945; 1996,all_recorded,0,Eldridge et al. 2001,,1,1,vector_from_animal,Bunyaviridae,ssRNA(-),Mammalia,bridged,192.92,4,60055,1,60055,60055,2825,3,1,2368
Camelpox virus,unknown,2009,2020,11,India,Asia,0,NA,Bera et al. 2011,Y,Camels are vaccinated,Bera et al. 2011,CETARTIODACTYLA,1,1,0,0,0,,Bera et al. 2011,0,3,India,2009,all_recorded,0,Bera et al. 2011,,1,0,direct_contact_with_animal,Poxviridae,dsDNA,Mammalia,direct,192.92,3,1923,1,1923,1923,1531,99,1,339
Caraparu orthobunyavirus,unknown,2000,2020,20,unknown,unknown,0,Emergence year is unclear so we proxied with our outbreak data,Treangen et al. 2016,N,,Treangen et al. 2016,PRIMATES,1,1,0,0,0,,Treangen et al. 2016,0,30,Peru,2000-2007,subset,0,Treangen et al. 2016,Difficult to differentiate from dengue and other dengue-like fevers,1,1,vector_from_animal,Bunyaviridae,ssRNA(-),Mammalia,direct,0,30,6572,1,6572,6572,2825,3,1,502
Changuinola virus,1966,1966,2020,54,Panama,South_America,0,NA,Silva et al. 2014,N,NA,Silva et al. 2014,PILOSA,1,1,0,0,0,,Silva et al. 2014,0,1,Panama,1966,all_recorded,0,Silva et al. 2014,Single case in an entomology field worker,1,1,vector_from_animal,Reoviridae,dsRNA,Mammalia,direct,210,1,15088,1,15088,15088,2261,15,1,10
Chapare mammarenavirus,2003,2003,2020,17,Bolivia,South_America,4,NA,Escalera-Antezana et al. 2020,N,NA,Escalera-Antezana et al. 2020,RODENTIA,1,1,66.66666667,66.66666667,66.66666667,,Escalera-Antezana et al. 2020,4,6,Bolivia,2003; 2019,all_recorded,60,Escalera-Antezana et al. 2020; Delgado et al. 2008,"First human case was in 2003 (one fatal case), then a cluster of 5 cases (3 fatal) in 2019 ",1,0,inhalation_aerosolized_animal_excreta,Arenaviridae,ssRNA(+/-),Mammalia,direct,179.65,5,3394,1,3394,3394,875,88,1,2368
Chikungunya virus,1952,1952,2020,68,Tanzania,Africa,728,Not believed to have caused death in Africa; first known fatalities were in 2005,GIDEON,N,NA,GIDEON,PRIMATES,1,1,0.02,0.1,0.06,,"ECDC. https://www.ecdc.europa.eu/en/chikungunya/facts/factsheet#:~:text=Despite%20it%20being%20considered%20as,and%20increased%20markedly%20with%20age.",120,352810,Brazil,2016,subset,0.03401264,GIDEON,,4,1,vector,Togaviridae,ssRNA(+),Mammalia,direct,0,618810,9821,0.57014269,5599.37139,17535.6491,2327,2478,1,502
Chikungunya virus,1952,1952,2020,68,Tanzania,Africa,728,Not believed to have caused death in Africa; first known fatalities were in 2005,GIDEON,N,NA,GIDEON,PRIMATES,1,1,0.02,0.1,0.06,,"ECDC. https://www.ecdc.europa.eu/en/chikungunya/facts/factsheet#:~:text=Despite%20it%20being%20considered%20as,and%20increased%20markedly%20with%20age.",254,266000,Reunion,2005,subset,0.09548872,GIDEON,,4,1,vector,Togaviridae,ssRNA(+),Mammalia,direct,0,618810,27768,0.42985731,11936.2777,17535.6491,2327,2478,1,502
Choclo orthohantavirus,unknown,1999,2020,21,Panama,South_America,4,NA,Armien et al. 2004,N,NA,Armien et al. 2004,RODENTIA,1,1,20,20,20,CFR calculated from Panama outbreak because no other data,,4,20,Panama,1999,all_recorded,20,Armien et al. 2004,Only outbreak reported,1,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,20,15088,1,15088,15088,99,2,1,2368
Colorado tick fever virus,1944,1950,2020,70,USA,North_America,0,NA,Hewitt et al. 1978,N,NA,Hewitt et al. 1978,RODENTIA,1,1,0,0,0,,Hewitt et al. 1978,0,228,USA,1973-1974,subset,0,Hewitt et al. 1978,Case counts from 1973-1974. Only 2 cases have been recorded to be fatal (both pediatric). Distinct from Rocky Mountain Spotted Fever (which is significantly more virulent),1,1,vector_from_animal,Reoviridae,dsRNA,Mammalia,direct,179.65,228,60055,1,60055,60055,2261,82,1,2368
Colorado tick fever virus,NA,2002,2012,10,USA,North America,4,4 deaths have been reported--3 in children and one man,Yendell et al. 2015,N,NA,Yendell et al. 2015,RODENTIA,1,1,1.333333333,1.333333333,1.333333333,1 death and 75 cases reported from 2002-2012,Yendell et al. 2015,1,75,USA,2002-2012,subset,1.333333333,USA,NA,1,1,vector,Reoviridae,dsRNA,Mammalia,direct,179.65,NA,60055,1,60055,60055,2261,82,1,2368
Cowpox virus,pre-1950,1950,2020,70,unknown,unknown,0,NA,Baxby et al. 1994,Y,NA,Baxby et al. 1994,RODENTIA,1,0,0,0,0,,Baxby et al. 1994,0,54,UK,1969-1993,subset,0,Baxby et al. 1994,,1,0,direct_contact_with_animal,Poxviridae,dsDNA,Mammalia,bridged,179.65,54,39758,1,39758,39758,1531,332,1,2368
Dengue virus,pre-1950,1950,2019,69,unknown,unknown,269731,See death_count_calculations.csv for death count calculations,GIDEON; http://ghdx.healthdata.org/gbd-results-tool,N,NA,GIDEON,PRIMATES,1,1,0.115977246,0.115977246,0.115977246,WHO reports a CFR of <1%; we calculated an exact rate with our outbreak data,"WHO. https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue#:~:text=Early%20detection%20of%20disease%20progression,urban%20and%20semi%2Durban%20areas.",1538,1367353,Brazil,2019,subset,0.1124801,PAHO 2020,Case fatality rate believed to be less than 1% overall. Unable to find exact estimate so we calculated the CFR statistic with the outbreak data,4,1,vector,Flaviviridae,ssRNA(+),Mammalia,direct,0,1520988,9821,0.89899,8828.98078,9023.22301,8265,5895,1,502
Dengue virus,pre-1950,1950,2019,69,unknown,unknown,269731,See death_count_calculations.csv for death count calculations,GIDEON; http://ghdx.healthdata.org/gbd-results-tool,N,NA,GIDEON,PRIMATES,1,1,0.115977246,0.115977246,0.115977246,WHO reports a CFR of <1%; we calculated an exact rate with our outbreak data,"WHO. https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue#:~:text=Early%20detection%20of%20disease%20progression,urban%20and%20semi%2Durban%20areas.",226,153635,India,2017,subset,0.1471019,GIDEON,Case fatality rate believed to be less than 1% overall. Unable to find exact estimate so we calculated the CFR statistic with the outbreak data,4,1,vector,Flaviviridae,ssRNA(+),Mammalia,direct,0,1520988,1923,0.10101,194.242233,9023.22301,8265,5895,1,502
Dobrava-Belgrade orthohantavirus,unknown,1981,2017,36,Germany,Europe,449,"First discovered in 1981, but likely the causative agent of some hantavirus outbreaks prior to 1992. For death count calculations, see death_count_calculations.csv (under rodent-borne_hantaviruses).",GIDEON; Papa 2012; Connolly-Anderson et al. 2013; Vaheri et al. 2010; Zupanc et al. 1999,N,NA,GIDEON; Papa 2012; Connolly-Anderson et al. 2013; Vaheri et al. 2010; Zupanc et al. 1999,RODENTIA,1,1,12,12,12,,Papa et al. 2011,0,86,Germany,2007-2012,subset,0,Hofman et al. 2014,,1,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,110,44976,0.78181818,35163.0545,40245.8182,99,165,1,2368
Dobrava-Belgrade orthohantavirus,unknown,1981,2017,36,Germany,Europe,449,"First discovered in 1981, but likely the causative agent of some hantavirus outbreaks prior to 1992. For death count calculations, see death_count_calculations.csv (under rodent-borne_hantaviruses).",GIDEON; Papa 2012; Connolly-Anderson et al. 2013; Vaheri et al. 2010; Zupanc et al. 1999,N,NA,GIDEON; Papa 2012; Connolly-Anderson et al. 2013; Vaheri et al. 2010; Zupanc et al. 1999,RODENTIA,1,1,12,12,12,,Papa et al. 2011,3,24,Slovenia,1985-1995,subset,12.5,Zupanc et al. 1999,,1,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,110,23296,0.21818182,5082.76364,40245.8182,99,165,1,2368
Duvenhage lyssavirus,1970,1970,2020,50,South Africa,Africa,3,NA,Paweska et al. 2007,Y,Rabies vaccine believed to protect against related lyssaviruses,Paweska et al. 2007,CHIROPTERA,1,1,100,100,100,,Paweska et al. 2007,2,2,South Africa,1970; 2006,all_recorded,100,Paweska et al. 2007,,1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,3,6151,0.66666667,4100.66667,4603.33333,1931,147,1,1308
Duvenhage lyssavirus,1970,1970,2020,50,South Africa,Africa,3,NA,NA,Y,Rabies vaccine believed to protect against related lyssaviruses,NA,CHIROPTERA,1,1,100,100,100,,Thiel et al. 2007,1,1,Kenya,2007,all_recorded,100,Thiel et al. 2007,,1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,3,1508,0.33333333,502.666667,4603.33333,1931,147,1,1308
Eastern equine encephalitis virus,1938,1968,2019,51,USA,North_America,100,Total of 89 deaths in the USA; only 2 deaths have been recorded in South America; a small outbreak of 9 deaths and 11 cases in Jamaica. First emerged in the US in 1938,GIDEON,Y,"Vaccination in horses for decades, which is suspected to have reduced transmission",GIDEON,AVES,1,1,33,33,33,,NEHA 2021,50,121,USA,2003-2016,subset,41.322314,Lindsey et al. 2018,"No known transmission between horses and humans, or human-to-human--only between birds and bird-to-human",1,1,vector_from_animal,Togaviridae,ssRNA(+),Aves,direct,623.81,228,60055,0.53070175,31871.2939,60055,2327,423,1,6264
Eastern equine encephalitis virus,1938,1968,2019,51,USA,North_America,100,Total of 89 deaths in the USA; only 2 deaths have been recorded in South America; a small outbreak of 9 deaths and 11 cases in Jamaica. First emerged in the US in 1938,GIDEON,Y,"Vaccination in horses for decades, which is suspected to have reduced transmission",GIDEON,AVES,1,1,33,33,33,,NEHA 2021,48,107,USA,2010-2019,subset,44.8598131,CDC. Eastern Equine Encephalitis: Statistics & Maps. https://www.cdc.gov/easternequineencephalitis/tech/epi.html,,1,1,vector_from_animal,Togaviridae,ssRNA(+),Aves,direct,623.81,228,60055,0.46929825,28183.7061,60055,2327,423,1,6264
Zaire ebolavirus,1976,1976,2019,43,South Sudan; Democratic Republic of Congo,Africa,24394,GIDEON counts 1976-1989; GBD 2019 study for 1990-2019,GIDEON; http://ghdx.healthdata.org/gbd-results-tool,N,NA,GIDEON,CHIROPTERA,1,1,76,76,76,,Guth et al. 2019,1105,1251,Sierra Leone,2015,subset,88.3293365,GIDEON,"The 2014-2016 outbreak was the most notable outbreak, with the majority of cases happening in 2015. Guinea, Liberia, and Sierra Leone had the largest outbreaks--but Liberia didn't have sufficient confirmed case data",3,0,bodily_fluids,Filoviridae,ssRNA(-),Mammalia,direct,192.92,2243,495,0.55773518,276.078912,631.217566,1729,1408,1,1308
Enterovirus A,pre-1950,1950,2020,70,unknown,unknown,0,NA,Harvala et al. 2014; Lim et al. 1973; https://wwwnc.cdc.gov/eid/article/18/2/11-1363_article#r14; Kono et al. 1975,N,NA,Harvala et al. 2014; Lim et al. 1973; https://wwwnc.cdc.gov/eid/article/18/2/11-1363_article#r14; Kono et al. 1975,PRIMATES,1,1,0,0,0,,Harvala et al. 2014; Lim et al. 1973; https://wwwnc.cdc.gov/eid/article/18/2/11-1363_article#r14; Kono et al. 1975,0,60180,Singapore,1970,subset,0,Harvala et al. 2014; Lim et al. 1973; https://wwwnc.cdc.gov/eid/article/18/2/11-1363_article#r14; Kono et al. 1975,The virus emerged from primates in Ghana and caused a global pandemic. Case numbers very difficult to find,4,0,fecal_oral,Picornaviridae,ssRNA(+),Mammalia,direct,0,198171,56737,0.30367713,17229.7292,19367.4404,4682,270,1,502
Enterovirus A,pre-1950,1950,2020,70,unknown,unknown,0,NA,Harvala et al. 2014; Lim et al. 1973; https://wwwnc.cdc.gov/eid/article/18/2/11-1363_article#r14; Kono et al. 1975,N,NA,Harvala et al. 2014; Lim et al. 1973; https://wwwnc.cdc.gov/eid/article/18/2/11-1363_article#r14; Kono et al. 1975,PRIMATES,1,1,0,0,0,,Harvala et al. 2014; Lim et al. 1973; https://wwwnc.cdc.gov/eid/article/18/2/11-1363_article#r14; Kono et al. 1975,0,137991,Morocco,1970,subset,0,Harvala et al. 2014; Lim et al. 1973; https://wwwnc.cdc.gov/eid/article/18/2/11-1363_article#r14; Kono et al. 1975,The virus emerged from primates in Ghana and caused a global pandemic. Case numbers very difficult to find,4,0,fecal_oral,Picornaviridae,ssRNA(+),Mammalia,direct,0,198171,3070,0.69632287,2137.71122,19367.4404,4682,270,1,502
European bat 1 lyssavirus,1977,1977,2020,43,Russia,Europe,2,NA,Fooks et al. 2003,Y,Rabies vaccine believed to protect against related lyssaviruses,Fooks et al. 2003,CHIROPTERA,1,1,100,100,100,,Fooks et al. 2003,1,1,Russia,1985,subset,100,Fooks et al. 2003,Only 4 cases ever recorded,1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,2,10956,0.5,5478,10956,1931,116,1,1308
European bat 1 lyssavirus,1977,1977,2020,43,Russia,Europe,2,NA,Fooks et al. 2003,Y,Rabies vaccine believed to protect against related lyssaviruses,Fooks et al. 2003,CHIROPTERA,1,1,100,100,100,,Fooks et al. 2003,1,1,Russia,1977,subset,100,Fooks et al. 2003,Only 4 cases ever recorded,1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,2,10956,0.5,5478,10956,1931,116,1,1308
European bat 2 lyssavirus,1985,1985,2020,35,Finland,Europe,2,NA,Fooks et al. 2003,Y,Rabies vaccine believed to protect against related lyssaviruses,Fooks et al. 2003,CHIROPTERA,1,1,100,100,100,,Fooks et al. 2003,1,1,UK,2002,subset,100,Fooks et al. 2003,Only 4 cases ever recorded,1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,2,39758,0.5,19879,42714,1931,77,1,1308
European bat 2 lyssavirus,1985,1985,2020,35,Finland,Europe,2,NA,Fooks et al. 2003,Y,Rabies vaccine believed to protect against related lyssaviruses,Fooks et al. 2003,CHIROPTERA,1,1,100,100,100,,Fooks et al. 2003,1,1,Finland,1985,subset,100,Fooks et al. 2003,Only 4 cases ever recorded,1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,2,45670,0.5,22835,42714,1931,77,1,1308
Foot-and-mouth disease virus,pre-1950,1950,2020,70,unknown,unknown,0,NA,Brown 2001; Prempeh et al. 2001,Y,NA,Brown 2001; Prempeh et al. 2001,CETARTIODACTYLA,1,1,0,0,0,,Brown 2001; Prempeh et al. 2001,0,40,UK,not_specified,subset,0,Brown 2001; Prempeh et al. 2001,"references give reviews of FMDV in humans. All cases appear to be traced transmission from cattle to humans in some European country, with no fatalities reported. Reviews all seem to cite each other with ""40+"" confirmed human cases, but no one actualy identifies what those cases are. I'd use 40 as the total number and 0 as the fatality rate.",1,0,direct_contact_with_animal,Picornaviridae,ssRNA(+),Mammalia,direct,192.92,40,39758,1,39758,39758,4682,1832,1,339
Guanarito mammarenavirus,1989,1989,2020,31,Venezuela,South_America,55,NA,Manzione et al. 1998,N,NA,Manzione et al. 1998,RODENTIA,1,1,33.3333333,33.3333333,33.3333333,,Manzione et al. 1998,55,165,Venezuela,1989-1997,all_recorded,33.3333333,Manzione et al. 1998,,1,0,inhalation_aerosolized_animal_excreta,Arenaviridae,ssRNA(+/-),Mammalia,direct,179.65,165,7977,1,7977,7977,875,174,1,2368
Hantaan orthohantavirus,1951,1951,2020,69,Korea,Asia,48828,"For death count calculations, see death_count_calculations.csv (under rodent-borne_hantaviruses).",GIDEON,N,NA,GIDEON,RODENTIA,1,1,5,15,10,,Guth et al. 2019,5,80,China,2006-2007,subset,6.25,Zhang et al. 2011,"It's difficult to find case counts for Hantaan virus because both HTNV and SEOV cause HFRS, but this study actually distinguished between the two viruses in the lab",1,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,4018,8682,0.0199104,172.86212,8682,99,1002,1,2368
Hantaan orthohantavirus,1951,1951,2020,69,Korea,Asia,48828,"For death count calculations, see death_count_calculations.csv (under rodent-borne_hantaviruses).",GIDEON,N,NA,GIDEON,RODENTIA,1,1,5,15,10,,Guth et al. 2019,88,3938,China,2010-2011,subset,2.23463687,Tian et al. 2015,The reference specifies that all HFRS cases in this particular region of China are HTNV,1,0,inhalation_aerosolized_animal_excreta,Bunyaviridae,ssRNA(-),Mammalia,direct,179.65,4018,8682,0.9800896,8509.13788,8682,99,1002,1,2368
Hendra henipavirus,1994,1994,2020,26,Australia,Australia,4,NA,GIDEON,N,NA,GIDEON,CHIROPTERA,1,0,57.1428571,57.1428571,57.1428571,,CDC Hendra Fact Sheet. https://www.cdc.gov/vhf/hendra/pdf/factsheet.pdf,4,7,Australia,1994-2019,all_recorded,57.1428571,CDC Hendra Fact Sheet. https://www.cdc.gov/vhf/hendra/pdf/factsheet.pdf,,1,0,direct_contact_with_animal,Paramyxoviridae,ssRNA(-),Mammalia,bridged,192.92,7,57613,1,57613,57613,3526,961,1,1308
Ilheus virus,1944,1950,2020,70,Brazil,South_America,0,NA,Johnson et al. 2007,N,NA,Johnson et al. 2007,AVES,1,0,0,0,0,,Johnson et al. 2007,0,1,Ecuador,2004,subset,0,Johnson et al. 2007,Less than 20 cases reported globally,1,1,vector_from_animal,Flaviviridae,ssRNA(+),Aves,direct,623.81,5,6273,0.2,1254.6,12202,8265,83,1,6264
Ilheus virus,1944,1950,2020,70,Brazil,South_America,0,NA,Johnson et al. 2007,N,NA,Johnson et al. 2007,AVES,1,0,0,0,0,,Johnson et al. 2007,0,3,Trinidad and Tobago,1953,subset,0,Spence et al. 1962,Less than 20 cases reported globally,1,1,vector_from_animal,Flaviviridae,ssRNA(+),Aves,direct,623.81,5,16145,0.6,9687,12202,8265,83,1,6264
Ilheus virus,1944,1950,2020,70,Brazil,South_America,0,NA,Johnson et al. 2007,N,NA,Johnson et al. 2007,AVES,1,0,0,0,0,,Johnson et al. 2007,0,1,Colombia,1966,subset,0,Landinez et al. 1966,Less than 20 cases reported globally,1,1,vector_from_animal,Flaviviridae,ssRNA(+),Aves,direct,623.81,5,6302,0.2,1260.4,12202,8265,83,1,6264
Indiana vesiculovirus,pre-1950,1950,2020,70,unknown,unknown,0,NA,Fields et al. 1967,N,NA,Fields et al. 1967,CETARTIODACTYLA,1,1,0,0,0,,Fields et al. 1967,0,41,USA,1965,subset,0,Fields et al. 1967,,1,1,vector_from_animal,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,41,60055,1,60055,60055,1931,11,1,339
Influenza A virus,pre-1950,1950,2020,1,unknown,Asia,1077,See death_count_calculations.csv for death count calculations,GIDEON,N,Typically no vaccine for zoonotic influenzas,GIDEON,AVES,1,1,40,60,50,"Lower end is for H7N9 and upper is for H5N1. Represents avian influenzas that have spilled directly (i.e., not via swine)",GIDEON,615,1567,China,2013-2018,subset,39.2469687,Tianyun et al. 2019,H7N9,4,0,respiratory,Orthomyxoviridae,ssRNA(-),Aves,direct,623.81,1567,8682,1,8682,8682,2351,4672,0,6264
Influenza A virus,pre-1950,1950,2020,1,unknown,Asia,2018449,See death_count_calculations.csv for death count calculations,GIDEON,N,Typically no vaccine for zoonotic influenzas,GIDEON,AVES,1,0,0.02050822,0.02050822,0.02050822,"H1N1, amplified in swine",GIDEON,12469,60800000,USA,2009,subset,0.02050822,CDC 2019. 2009 H1N1 Pandemic. https://www.cdc.gov/flu/pandemic-resources/2009-h1n1-pandemic.html,2009 H1N1 pandemic.,4,0,respiratory,Orthomyxoviridae,ssRNA(-),Aves,bridged,623.81,60800000,60055,1,60055,60055,2351,4672,0,6264
Irkut lyssavirus,2007,2007,2020,13,Russia,Europe,3,"First case in Russia, 2 in China",Teng et al. 2018,Y,Rabies vaccine believed to protect against related lyssaviruses,Teng et al. 2018,CHIROPTERA,1,1,100,100,100,,Leonova et al. 2013,1,1,Russia,2007,subset,100,Leonova et al. 2013,,1,0,animal_bite,Rhabdoviridae,ssRNA(-),Mammalia,direct,192.92,2,10956,0.5,5478,9819,1931,75,1,1308
